N,Overlap,Deg_Rate,Noise_Std,Memory_Class,r_star,fidelity_at_r,fidelity_prev,slope,collapsed,braak_at_collapse,plateau_height,post_floor,transition_width,auc
500,low,fast,0.4,weak_dense,0.9,0.02623410261484484,0.9999687832196553,-9.737346806048105,True,Stage_3,0.9999998089075088,0.013117051307422425,0.08215790357832387,0.8526201719649757
500,low,fast,0.4,weak_remote,0.7,0.3736203285640416,0.9881381243672998,-6.145177958032582,True,Stage_3,0.9964775175655053,-0.0028999418759097654,0.1694414938651474,0.6881933196047242
500,low,fast,0.5,strong_recent,1.0,1.932617295662338e-16,0.9999938319921493,-9.99993831992149,True,Stage_3,1.000000166098277,0.49999691599607476,0.08000049344367155,0.949999476826191
500,low,fast,0.5,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,low,fast,0.5,weak_dense,0.9,0.026234102801109355,0.9999687832196553,-9.737346804185458,True,Stage_3,0.9999998089075088,0.013117051400554683,0.08215790359403974,0.8526201719836023
500,low,fast,0.5,weak_remote,0.7,0.3736203285640416,0.9604899676349791,-5.868696390709374,True,Stage_3,0.9886171811958259,-0.0028999419659376142,0.1734769179791641,0.6807123020916789
500,low,medium,0.1,strong_recent,0.95,0.2007999103218317,0.9999938378334046,-15.983878550231458,True,Stage_3,1.0000000811464647,0.40026458271841214,0.06884367220389642,0.9350397591121494
500,low,medium,0.1,strong_salient,0.95,0.2236187841296196,1.0000003592967988,-15.527631503343583,True,Stage_3,1.0000001684216893,0.4078730478088062,0.07120036343598402,0.9361811865895987
500,low,medium,0.1,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.02119734685392016,0.04201857611706428,0.8305784563655966
500,low,medium,0.1,weak_remote,0.7,0.3736203285640416,0.9999999407132467,-12.527592242984102,True,Stage_3,0.9999766415622499,-0.001837743014925056,0.08485805444499761,0.6991919957485049
500,low,medium,0.2,strong_recent,0.95,0.20079989977180956,0.999993837594986,-15.983878756463527,True,Stage_3,1.0000000811464647,0.40026457912226526,0.06884367099126265,0.9350397585727274
500,low,medium,0.2,strong_salient,0.95,0.22361878323554993,1.0000003592967988,-15.527631521224976,True,Stage_3,1.0000001684216893,0.40787304751078296,0.07120036335400304,0.9361811865448951
500,low,medium,0.2,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.02119734686519951,0.04201857611706428,0.8305784563672883
500,low,medium,0.2,weak_remote,0.7,0.3736203285640416,0.9999999407132467,-12.527592242984102,True,Stage_3,0.9999766415887409,-0.0018377432082262305,0.08485805444499761,0.6991919957354044
500,low,medium,0.3,strong_recent,0.95,0.20079987613856792,0.9999938371181488,-15.983879219591616,True,Stage_3,1.0000000811464647,0.40026457108557234,0.0688436682716922,0.9350397573910653
500,low,medium,0.3,strong_salient,0.95,0.2236187816262245,1.0000003592967988,-15.527631553411485,True,Stage_3,1.0000001684216893,0.4078730469743412,0.07120036320643719,0.9361811864644289
500,low,medium,0.3,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.021197346920871902,0.04201857611706428,0.8305784563756392
500,low,medium,0.3,weak_remote,0.7,0.3736203285640416,0.9960528737430772,-12.448650903580711,True,Stage_3,0.9995448341336517,-0.0018377432703144021,0.08512450320412557,0.6986702286501104
500,low,medium,0.4,strong_recent,0.95,0.2007998277246952,0.9999938346147538,-15.98388013780117,True,Stage_3,1.0000000811464647,0.40026455411314976,0.06884366278407139,0.93503975482136
500,low,medium,0.4,strong_salient,0.95,0.22361877825856208,1.0000003592967988,-15.527631620764732,True,Stage_3,1.0000001684216893,0.407873045851787,0.07120036289764209,0.9361811862960457
500,low,medium,0.4,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.021197346927701605,0.04201857611706428,0.8305784563766636
500,low,medium,0.4,weak_remote,0.7,0.3736203285640416,0.9749461851809174,-12.026517132337515,True,Stage_3,0.9974778554073224,-0.0018377432421677641,0.08660868480630712,0.6958469515151694
500,low,medium,0.5,strong_recent,0.95,0.2007997364550829,0.9999938319921493,-15.983881910741328,True,Stage_3,1.0000000811464647,0.40026452281574415,0.06884365232405776,0.9350397501267492
500,low,medium,0.5,strong_salient,0.95,0.22361877220869064,1.0000003592967988,-15.527631741762162,True,Stage_3,1.0000001684216893,0.4078730438351632,0.07120036234290406,0.9361811859935522
500,low,medium,0.5,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.021197346891845683,0.04201857611706428,0.8305784563712852
500,low,medium,0.5,weak_remote,0.7,0.3736203285640416,0.9119240836054087,-10.76607510082734,True,Stage_3,0.9905621785060056,-0.0018377429151700602,0.09173286869201946,0.6871640325080376
500,low,slow,0.1,strong_recent,0.925,0.1946698124855757,0.9999938378334046,-32.21296101391315,True,Stage_3,1.0000000153289121,0.31980361736118795,0.08461412928121104,0.9274754680309445
500,low,slow,0.1,strong_salient,0.95,0.2236187841296196,1.0000002069473266,-31.05525691270828,True,Stage_3,1.0000001272243613,0.4887765788733959,0.0604298867507993,0.9485972489081322
500,low,slow,0.1,weak_dense,0.825,0.308191230095923,0.9999687832196553,-27.671102124949293,True,Stage_3,0.9999999938230405,0.02733887928981955,0.04139160656331642,0.8255770136005672
500,low,slow,0.1,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9999822885857688,-0.0011699873810013138,0.044777423070213374,0.7018870297564581
500,low,slow,0.2,strong_recent,0.925,0.19466980859637262,0.999993837594986,-32.212961159944534,True,Stage_3,1.0000000153289121,0.31980361176133154,0.08461412849890637,0.9274754673309625
